path_id,time,asset_id,value
0,0,0,100
0,0,1,50
0,0,2,75
0,0.01,0,101.081
0,0.01,1,49.7118
0,0.01,2,76.7547
0,0.02,0,102.089
0,0.02,1,49.9446
0,0.02,2,76.0407
0,0.03,0,101.134
0,0.03,1,47.0059
0,0.03,2,76.0947
0,0.04,0,101.979
0,0.04,1,47.1255
0,0.04,2,76.37
0,0.05,0,101.157
0,0.05,1,46.888
0,0.05,2,76.1669
0,0.06,0,100.132
0,0.06,1,45.616
0,0.06,2,76.6927
0,0.07,0,100.113
0,0.07,1,45.7976
0,0.07,2,76.5279
0,0.08,0,102.434
0,0.08,1,48.8894
0,0.08,2,75.2763
0,0.09,0,104.778
0,0.09,1,47.1751
0,0.09,2,75.5343
0,0.1,0,106.464
0,0.1,1,48.2215
0,0.1,2,76.6448
0,0.11,0,104.05
0,0.11,1,46.9378
0,0.11,2,75.9068
0,0.12,0,105.28
0,0.12,1,46.9433
0,0.12,2,74.8885
0,0.13,0,105.473
0,0.13,1,46.465
0,0.13,2,76.331
0,0.14,0,105.154
0,0.14,1,46.1721
0,0.14,2,77.0953
0,0.15,0,107.706
0,0.15,1,45.944
0,0.15,2,80.5319
0,0.16,0,109.452
0,0.16,1,48.4818
0,0.16,2,80.1049
0,0.17,0,109.695
0,0.17,1,49.1635
0,0.17,2,80.6429
0,0.18,0,106.437
0,0.18,1,47.4337
0,0.18,2,79.707
0,0.19,0,105.904
0,0.19,1,47.2221
0,0.19,2,78.8672
0,0.2,0,102.646
0,0.2,1,46.9842
0,0.2,2,79.102
0,0.21,0,103.054
0,0.21,1,47.9967
0,0.21,2,79.0313
0,0.22,0,104.471
0,0.22,1,49.9644
0,0.22,2,78.402
0,0.23,0,102.915
0,0.23,1,49.1085
0,0.23,2,79.6315
0,0.24,0,105.461
0,0.24,1,50.8547
0,0.24,2,77.9682
0,0.25,0,107.77
0,0.25,1,49.01
0,0.25,2,80.1386
0,0.26,0,105.811
0,0.26,1,48.7866
0,0.26,2,79.1147
0,0.27,0,105.27
0,0.27,1,46.8701
0,0.27,2,80.8142
0,0.28,0,105.196
0,0.28,1,47.5726
0,0.28,2,82.3783
0,0.29,0,103.086
0,0.29,1,47.2449
0,0.29,2,82.1822
0,0.3,0,100.213
0,0.3,1,47.0238
0,0.3,2,81.6555
0,0.31,0,100.986
0,0.31,1,48.1773
0,0.31,2,82.3143
0,0.32,0,98.0737
0,0.32,1,45.9599
0,0.32,2,82.4093
0,0.33,0,95.3791
0,0.33,1,44.5372
0,0.33,2,83.127
0,0.34,0,94.7704
0,0.34,1,43.346
0,0.34,2,83.2093
0,0.35,0,95.6915
0,0.35,1,43.3896
0,0.35,2,82.3991
0,0.36,0,93.1569
0,0.36,1,41.1376
0,0.36,2,82.9392
0,0.37,0,92.9177
0,0.37,1,43.1548
0,0.37,2,80.9296
0,0.38,0,91.2787
0,0.38,1,41.9633
0,0.38,2,80.5463
